country_id,year,total_floorspace_m2,res_share,nres_share,residential_floorspace_m2,non_residential_floorspace_m2,v6_estimate_status,composition_status,interpolation_from,composition_source,method_id,qa_flags,period_end,nowcast_horizon_years,nowcast_method
AND,2026,3395261.51,0.9743535465907015,0.025646453409298473,3308185.0938714,87076.41612859938,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
ARE,2020,511804054.87,0.784112569086391,0.21588743091360893,401311992.33294797,110492062.53705204,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
ARE,2023,551729412.03,0.7825860250753028,0.21741397492469722,431775727.47769165,119953684.55230835,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
ARE,2024,562550141.61,0.7820771770716067,0.2179228229283933,439957626.7115814,122592514.8984186,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
ARE,2025,579180446.56,0.7815683290679106,0.2184316709320894,452669093.84670544,126511352.71329449,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
ARE,2026,596302382.42,0.7814034274010899,0.21859657259891008,465952725.3904234,130349657.02957655,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
ARG,2020,2382940448.4,0.9568902296783537,0.043109770321646326,2280212432.9793153,102728015.42068492,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
ARG,2023,2531011731.78,0.9563188465493567,0.043681153450643335,2420454219.93874,110557511.84126072,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
ARG,2024,2565146369.29,0.9561283855063577,0.04387161449364234,2452609256.656743,112537112.63325718,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
ARG,2025,2617213435.22,0.9559379244633587,0.04406207553664134,2501893579.141824,115319856.0781762,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
ARG,2026,2670337352.87,0.9558296173932443,0.044170382606755695,2552387530.3046207,117949822.56537908,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
ARM,2020,142786500.21,0.9460698179908588,0.053930182009141195,135085998.26522642,7700501.944773578,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
ARM,2023,150315484.74,0.9460326441690495,0.05396735583095048,142203355.48813462,8112129.251865387,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
ARM,2024,152041785.16,0.946020252895113,0.0539797471048869,143834608.04768765,8207177.112312346,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
ARM,2025,154668480.07,0.9460078616211767,0.05399213837882333,146317598.09121826,8350881.978781718,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
ARM,2026,157340554.12,0.9459843559125256,0.054015644087474377,148841702.7481281,8498851.37187192,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
ATG,2020,7437404.66,0.964727526401824,0.03527247359817603,7175069.000491199,262335.65950880136,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
ATG,2023,7876426.92,0.9649715507435127,0.03502844925648736,7600527.8993103495,275899.020689651,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
ATG,2024,7977454.26,0.9650528921907422,0.034947107809257805,7698665.305932357,278788.9540676429,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
ATG,2025,8131430.13,0.9651342336379718,0.03486576636202825,7847921.586898264,283508.543101737,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
ATG,2026,8288377.95,0.96512961436989,0.034870385630110017,7999359.014635399,289018.93536460074,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
AUS,2020,3011161094.86,0.8839520715369509,0.11604792846304914,2661722087.53297,349439007.32703,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
AUS,2023,3197269910.45,0.8847004359663416,0.11529956403365843,2828626083.677181,368643826.7728191,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
AUS,2024,3240165154.52,0.8849498907761385,0.11505010922386152,2867383799.5891237,372781354.93087614,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
AUS,2025,3305589476.13,0.8851993455859354,0.11480065441406462,2926105641.046031,379483835.08396906,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
AUS,2026,3372334823.57,0.8853241498222847,0.11467585017771527,2985609460.593195,386725362.9768052,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
AUT,2020,865496536.07,0.7916804933647736,0.20831950663522636,685196724.6814003,180299811.3885998,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
AUT,2023,904623249.78,0.7919820458027204,0.20801795419727967,716445372.0414697,188177877.7385303,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
AUT,2024,914774765.95,0.7920825632820359,0.2079174367179641,724577141.4394004,190197624.51059955,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
AUT,2025,930216036.25,0.7921830807613515,0.20781691923864853,736901405.370138,193314630.879862,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
AUT,2026,945917953.03,0.7923096017884479,0.20769039821155205,749459876.689743,196458076.34025687,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
AZE,2020,507953272.9,0.9627128965080817,0.03728710349191831,489013166.64431906,18940106.255680922,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
AZE,2023,545138692.22,0.9623634330835934,0.03763656691640659,524621543.3515396,20517148.86846041,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
AZE,2024,553765004.6,0.9622469452754306,0.03775305472456936,532858684.07678485,20906320.523215204,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
AZE,2025,566961090.65,0.9621304574672679,0.03786954253273212,545490533.5132256,21470557.136774365,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
AZE,2026,580471636.24,0.9620482783737508,0.03795172162624911,558441738.2894862,22029897.950513814,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
BDI,2020,147710691.61,0.9912962709471309,0.008703729052869045,146425057.77201468,1285633.837985337,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
BDI,2023,163647664.16,0.9919067933949354,0.008093206605064667,162323229.8035169,1324434.3564831163,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
BDI,2024,167416488.43,0.9921103008775368,0.007889699122463208,166095622.70814797,1320865.721852043,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
BDI,2025,173233091.06,0.9923138083601383,0.00768619163986175,171901588.32374722,1331502.7362527812,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
BDI,2026,179251781.7,0.9923787406360824,0.007621259363917592,177885657.38021997,1366124.319780037,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
BEL,2020,1079109698.01,0.7465284407289194,0.2534715592710806,805586080.2308605,273523617.77913964,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
BEL,2023,1111162585.13,0.7458059246921903,0.2541940753078097,828711639.2862444,282450945.8437557,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
BEL,2024,1119093500.37,0.7455650860132806,0.25443491398671936,834357041.8602623,284736458.5097376,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
