year,v6_total_floorspace_m2,v8_classified_floorspace_m2,residential_floorspace_m2,non_residential_floorspace_m2,unclassified_floorspace_m2,coverage_fraction,successful_country_count
2020,339852164649.98,339851845725.74,305391046607.5638,34460799118.17621,318924.2399902344,0.9999990615794949,197
2023,366410757879.57,366410445969.35,329076329293.86505,37334116675.48497,311910.2200317383,0.9999991487416422,197
2024,372093694174.24,372093383384.3,334094433962.504,37998949421.795975,310789.9400024414,0.9999991647535422,197
2025,380802859429.34,380802550312.27997,341842837082.0911,38959713230.18886,309117.06005859375,0.99999918824911,197
2026,389739291445.6,389738983992.42,349832353573.45386,39906630418.96613,307453.1799926758,0.9999992111311671,197
